journal_id,line_id,posting_date,account_id,debit,credit,description,source_doc,cost_center
JE-000001,GL-000001,2025-01-01,1010,850000.0,0.0,Opening Cash - Operating,JE-OPEN-2025,
JE-000001,GL-000002,2025-01-01,1020,75000.0,0.0,Opening Cash - Payroll,JE-OPEN-2025,
JE-000001,GL-000003,2025-01-01,1100,1250000.0,0.0,Opening Accounts Receivable,JE-OPEN-2025,
JE-000001,GL-000004,2025-01-01,1210,480000.0,0.0,Opening Inventory - Brakes,JE-OPEN-2025,
JE-000001,GL-000005,2025-01-01,1220,620000.0,0.0,Opening Inventory - Engine,JE-OPEN-2025,
JE-000001,GL-000006,2025-01-01,1230,410000.0,0.0,Opening Inventory - Electrical,JE-OPEN-2025,
JE-000001,GL-000007,2025-01-01,1240,350000.0,0.0,Opening Inventory - Suspension,JE-OPEN-2025,
JE-000001,GL-000008,2025-01-01,1250,280000.0,0.0,Opening Inventory - Body,JE-OPEN-2025,
JE-000001,GL-000009,2025-01-01,1260,180000.0,0.0,Opening Inventory - Accessories,JE-OPEN-2025,
JE-000001,GL-000010,2025-01-01,1320,60000.0,0.0,Opening Prepaid Rent,JE-OPEN-2025,
JE-000001,GL-000011,2025-01-01,1310,36000.0,0.0,Opening Prepaid Insurance,JE-OPEN-2025,
JE-000001,GL-000012,2025-01-01,1510,480000.0,0.0,Opening Equipment,JE-OPEN-2025,
JE-000001,GL-000013,2025-01-01,1520,320000.0,0.0,Opening Vehicles,JE-OPEN-2025,
JE-000001,GL-000014,2025-01-01,1530,1800000.0,0.0,Opening Buildings,JE-OPEN-2025,
JE-000001,GL-000015,2025-01-01,1610,0.0,192000.0,Opening Accum Depr - Equipment,JE-OPEN-2025,
JE-000001,GL-000016,2025-01-01,1620,0.0,96000.0,Opening Accum Depr - Vehicles,JE-OPEN-2025,
JE-000001,GL-000017,2025-01-01,1630,0.0,540000.0,Opening Accum Depr - Buildings,JE-OPEN-2025,
JE-000001,GL-000018,2025-01-01,2000,0.0,685000.0,Opening Accounts Payable,JE-OPEN-2025,
JE-000001,GL-000019,2025-01-01,2110,0.0,42000.0,Opening Accrued Wages,JE-OPEN-2025,
JE-000001,GL-000020,2025-01-01,2300,0.0,350000.0,Opening Notes Payable,JE-OPEN-2025,
JE-000001,GL-000021,2025-01-01,2400,0.0,1200000.0,Opening Long-Term Debt,JE-OPEN-2025,
JE-000001,GL-000022,2025-01-01,3000,0.0,1000000.0,Opening Common Stock,JE-OPEN-2025,
JE-000001,GL-000023,2025-01-01,3100,0.0,3086000.0,Opening Retained Earnings,JE-OPEN-2025,
JE-000002,GL-000024,2025-01-03,1100,11248.06,0.0,Invoice SO-00001 to CUST-026,SO-00001,
JE-000002,GL-000025,2025-01-03,4030,0.0,2981.75,Sales Electrical - SO-00001,SO-00001,
JE-000002,GL-000026,2025-01-03,4040,0.0,163.61,Sales Suspension - SO-00001,SO-00001,
JE-000002,GL-000027,2025-01-03,4050,0.0,1223.1,Sales Body - SO-00001,SO-00001,
JE-000002,GL-000028,2025-01-03,4020,0.0,6879.6,Sales Engine - SO-00001,SO-00001,
JE-000003,GL-000029,2025-01-03,5030,1954.7,0.0,COGS Electrical - SO-00001,SO-00001,
JE-000003,GL-000030,2025-01-03,1230,0.0,1954.7,Inventory release Electrical - SO-00001,SO-00001,
JE-000003,GL-000031,2025-01-03,5040,116.5,0.0,COGS Suspension - SO-00001,SO-00001,
JE-000003,GL-000032,2025-01-03,1240,0.0,116.5,Inventory release Suspension - SO-00001,SO-00001,
JE-000003,GL-000033,2025-01-03,5050,950.75,0.0,COGS Body - SO-00001,SO-00001,
JE-000003,GL-000034,2025-01-03,1250,0.0,950.75,Inventory release Body - SO-00001,SO-00001,
JE-000003,GL-000035,2025-01-03,5020,5016.2,0.0,COGS Engine - SO-00001,SO-00001,
JE-000003,GL-000036,2025-01-03,1220,0.0,5016.2,Inventory release Engine - SO-00001,SO-00001,
JE-000004,GL-000037,2025-01-14,1100,503.5,0.0,Invoice SO-00002 to CUST-043,SO-00002,
JE-000004,GL-000038,2025-01-14,4060,0.0,503.5,Sales Accessories - SO-00002,SO-00002,
JE-000005,GL-000039,2025-01-14,5060,374.9,0.0,COGS Accessories - SO-00002,SO-00002,
JE-000005,GL-000040,2025-01-14,1260,0.0,374.9,Inventory release Accessories - SO-00002,SO-00002,
JE-000006,GL-000041,2025-02-28,1010,503.5,0.0,Customer payment CUST-043,SO-00002,
JE-000006,GL-000042,2025-02-28,1100,0.0,503.5,Apply receipt SO-00002,SO-00002,
JE-000007,GL-000043,2025-01-27,1100,6452.13,0.0,Invoice SO-00003 to CUST-049,SO-00003,
JE-000007,GL-000044,2025-01-27,4060,0.0,735.22,Sales Accessories - SO-00003,SO-00003,
JE-000007,GL-000045,2025-01-27,4050,0.0,4135.76,Sales Body - SO-00003,SO-00003,
JE-000007,GL-000046,2025-01-27,4030,0.0,1581.15,Sales Electrical - SO-00003,SO-00003,
JE-000008,GL-000047,2025-01-27,5060,553.74,0.0,COGS Accessories - SO-00003,SO-00003,
JE-000008,GL-000048,2025-01-27,1260,0.0,553.74,Inventory release Accessories - SO-00003,SO-00003,
JE-000008,GL-000049,2025-01-27,5050,3010.08,0.0,COGS Body - SO-00003,SO-00003,
JE-000008,GL-000050,2025-01-27,1250,0.0,3010.08,Inventory release Body - SO-00003,SO-00003,
JE-000008,GL-000051,2025-01-27,5030,1160.13,0.0,COGS Electrical - SO-00003,SO-00003,
JE-000008,GL-000052,2025-01-27,1230,0.0,1160.13,Inventory release Electrical - SO-00003,SO-00003,
JE-000009,GL-000053,2025-01-31,1100,3607.34,0.0,Invoice SO-00004 to CUST-018,SO-00004,
JE-000009,GL-000054,2025-01-31,4020,0.0,2806.76,Sales Engine - SO-00004,SO-00004,
JE-000009,GL-000055,2025-01-31,4030,0.0,800.58,Sales Electrical - SO-00004,SO-00004,
JE-000010,GL-000056,2025-01-31,5020,2050.44,0.0,COGS Engine - SO-00004,SO-00004,
JE-000010,GL-000057,2025-01-31,1220,0.0,2050.44,Inventory release Engine - SO-00004,SO-00004,
JE-000010,GL-000058,2025-01-31,5030,536.22,0.0,COGS Electrical - SO-00004,SO-00004,
JE-000010,GL-000059,2025-01-31,1230,0.0,536.22,Inventory release Electrical - SO-00004,SO-00004,
JE-000011,GL-000060,2025-03-05,1010,3607.34,0.0,Customer payment CUST-018,SO-00004,
JE-000011,GL-000061,2025-03-05,1100,0.0,3607.34,Apply receipt SO-00004,SO-00004,
JE-000012,GL-000062,2025-01-06,1100,2909.24,0.0,Invoice SO-00005 to CUST-034,SO-00005,
JE-000012,GL-000063,2025-01-06,4030,0.0,468.84,Sales Electrical - SO-00005,SO-00005,
JE-000012,GL-000064,2025-01-06,4020,0.0,2440.4,Sales Engine - SO-00005,SO-00005,
JE-000013,GL-000065,2025-01-06,5030,303.64,0.0,COGS Electrical - SO-00005,SO-00005,
JE-000013,GL-000066,2025-01-06,1230,0.0,303.64,Inventory release Electrical - SO-00005,SO-00005,
JE-000013,GL-000067,2025-01-06,5020,1960.9,0.0,COGS Engine - SO-00005,SO-00005,
JE-000013,GL-000068,2025-01-06,1220,0.0,1960.9,Inventory release Engine - SO-00005,SO-00005,
JE-000014,GL-000069,2025-01-31,1010,2909.24,0.0,Customer payment CUST-034,SO-00005,
JE-000014,GL-000070,2025-01-31,1100,0.0,2909.24,Apply receipt SO-00005,SO-00005,
JE-000015,GL-000071,2025-01-24,1100,821.5,0.0,Invoice SO-00006 to CUST-016,SO-00006,
JE-000015,GL-000072,2025-01-24,4040,0.0,821.5,Sales Suspension - SO-00006,SO-00006,
JE-000016,GL-000073,2025-01-24,5040,596.4,0.0,COGS Suspension - SO-00006,SO-00006,
JE-000016,GL-000074,2025-01-24,1240,0.0,596.4,Inventory release Suspension - SO-00006,SO-00006,
JE-000017,GL-000075,2025-03-09,1010,821.5,0.0,Customer payment CUST-016,SO-00006,
JE-000017,GL-000076,2025-03-09,1100,0.0,821.5,Apply receipt SO-00006,SO-00006,
JE-000018,GL-000077,2025-01-24,1100,3389.86,0.0,Invoice SO-00007 to CUST-045,SO-00007,
JE-000018,GL-000078,2025-01-24,4040,0.0,377.9,Sales Suspension - SO-00007,SO-00007,
JE-000018,GL-000079,2025-01-24,4010,0.0,3011.96,Sales Brakes - SO-00007,SO-00007,
JE-000019,GL-000080,2025-01-24,5040,298.2,0.0,COGS Suspension - SO-00007,SO-00007,
JE-000019,GL-000081,2025-01-24,1240,0.0,298.2,Inventory release Suspension - SO-00007,SO-00007,
JE-000019,GL-000082,2025-01-24,5010,2212.36,0.0,COGS Brakes - SO-00007,SO-00007,
JE-000019,GL-000083,2025-01-24,1210,0.0,2212.36,Inventory release Brakes - SO-00007,SO-00007,
JE-000020,GL-000084,2025-01-31,1100,3473.88,0.0,Invoice SO-00008 to CUST-030,SO-00008,
JE-000020,GL-000085,2025-01-31,4020,0.0,1698.08,Sales Engine - SO-00008,SO-00008,
JE-000020,GL-000086,2025-01-31,4060,0.0,1775.8,Sales Accessories - SO-00008,SO-00008,
JE-000021,GL-000087,2025-01-31,5020,1229.4,0.0,COGS Engine - SO-00008,SO-00008,
JE-000021,GL-000088,2025-01-31,1220,0.0,1229.4,Inventory release Engine - SO-00008,SO-00008,
JE-000021,GL-000089,2025-01-31,5060,1212.8,0.0,COGS Accessories - SO-00008,SO-00008,
JE-000021,GL-000090,2025-01-31,1260,0.0,1212.8,Inventory release Accessories - SO-00008,SO-00008,
JE-000022,GL-000091,2025-01-28,1100,12747.62,0.0,Invoice SO-00009 to CUST-031,SO-00009,
JE-000022,GL-000092,2025-01-28,4020,0.0,6782.79,Sales Engine - SO-00009,SO-00009,
JE-000022,GL-000093,2025-01-28,4010,0.0,456.45,Sales Brakes - SO-00009,SO-00009,
JE-000022,GL-000094,2025-01-28,4050,0.0,531.78,Sales Body - SO-00009,SO-00009,
