line_id,order_id,product_id,quantity,unit_price,line_total
L-000001,SO-00001,SKU-10043,5,596.35,2981.75
L-000002,SO-00001,SKU-10062,1,163.61,163.61
L-000003,SO-00001,SKU-10081,5,244.62,1223.1
L-000004,SO-00001,SKU-10029,20,343.98,6879.6
L-000005,SO-00002,SKU-10087,10,50.35,503.5
L-000006,SO-00003,SKU-10026,2,367.61,735.22
L-000007,SO-00003,SKU-10085,8,516.97,4135.76
L-000008,SO-00003,SKU-10057,1,191.15,191.15
L-000009,SO-00003,SKU-10048,5,278.0,1390.0
L-000010,SO-00004,SKU-10038,2,452.5,905.0
L-000011,SO-00004,SKU-10044,2,400.29,800.58
L-000012,SO-00004,SKU-10025,12,158.48,1901.76
L-000013,SO-00005,SKU-10047,4,117.21,468.84
L-000014,SO-00005,SKU-10032,10,244.04,2440.4
L-000015,SO-00006,SKU-10064,10,82.15,821.5
L-000016,SO-00007,SKU-10064,5,75.58,377.9
L-000017,SO-00007,SKU-10002,2,96.09,192.18
L-000018,SO-00007,SKU-10011,10,74.25,742.5
L-000019,SO-00007,SKU-10018,8,259.66,2077.28
L-000020,SO-00008,SKU-10028,4,424.52,1698.08
L-000021,SO-00008,SKU-10086,20,88.79,1775.8
L-000022,SO-00009,SKU-10027,5,209.55,1047.75
L-000023,SO-00009,SKU-10001,5,91.29,456.45
L-000024,SO-00009,SKU-10081,2,265.89,531.78
L-000025,SO-00009,SKU-10095,20,117.24,2344.8
L-000026,SO-00009,SKU-10073,10,263.18,2631.8
L-000027,SO-00009,SKU-10033,12,477.92,5735.04
L-000028,SO-00010,SKU-10055,2,250.63,501.26
L-000029,SO-00010,SKU-10039,20,208.12,4162.4
L-000030,SO-00010,SKU-10058,20,182.13,3642.6
L-000031,SO-00010,SKU-10014,8,198.57,1588.56
L-000032,SO-00010,SKU-10097,1,90.38,90.38
L-000033,SO-00011,SKU-10014,12,188.64,2263.68
L-000034,SO-00012,SKU-10054,3,76.38,229.14
L-000035,SO-00013,SKU-10057,5,191.15,955.75
L-000036,SO-00013,SKU-10060,1,360.71,360.71
L-000037,SO-00013,SKU-10001,5,101.43,507.15
L-000038,SO-00014,SKU-10070,1,101.48,101.48
L-000039,SO-00014,SKU-10061,12,297.48,3569.76
L-000040,SO-00014,SKU-10095,12,105.52,1266.24
L-000041,SO-00014,SKU-10016,12,264.82,3177.84
L-000042,SO-00014,SKU-10043,1,566.53,566.53
L-000043,SO-00014,SKU-10063,5,84.2,421.0
L-000044,SO-00015,SKU-10022,1,458.78,458.78
L-000045,SO-00015,SKU-10033,1,477.92,477.92
L-000046,SO-00015,SKU-10088,1,61.94,61.94
L-000047,SO-00016,SKU-10082,5,361.3,1806.5
L-000048,SO-00016,SKU-10034,1,563.77,563.77
L-000049,SO-00016,SKU-10035,2,504.12,1008.24
L-000050,SO-00016,SKU-10079,12,735.99,8831.88
L-000051,SO-00016,SKU-10085,1,475.61,475.61
L-000052,SO-00016,SKU-10039,4,208.12,832.48
L-000053,SO-00017,SKU-10063,5,91.52,457.6
L-000054,SO-00017,SKU-10078,3,248.98,746.94
L-000055,SO-00017,SKU-10080,2,147.63,295.26
L-000056,SO-00017,SKU-10007,12,139.54,1674.48
L-000057,SO-00017,SKU-10073,2,263.18,526.36
L-000058,SO-00018,SKU-10011,4,74.25,297.0
L-000059,SO-00018,SKU-10022,1,458.78,458.78
