order_id,order_date,customer_id,status,currency,order_total
SO-00001,2025-01-03,CUST-026,Shipped,USD,11248.06
SO-00002,2025-01-14,CUST-043,Closed,USD,503.5
SO-00003,2025-01-27,CUST-049,Shipped,USD,6452.13
SO-00004,2025-01-31,CUST-018,Closed,USD,3607.34
SO-00005,2025-01-06,CUST-034,Closed,USD,2909.24
SO-00006,2025-01-24,CUST-016,Closed,USD,821.5
SO-00007,2025-01-24,CUST-045,Shipped,USD,3389.86
SO-00008,2025-01-31,CUST-030,Shipped,USD,3473.88
SO-00009,2025-01-28,CUST-031,Shipped,USD,12747.62
SO-00010,2025-01-31,CUST-048,Shipped,USD,9985.2
SO-00011,2025-01-09,CUST-021,Closed,USD,2263.68
SO-00012,2025-01-23,CUST-006,Closed,USD,229.14
SO-00013,2025-01-09,CUST-026,Closed,USD,1823.61
SO-00014,2025-01-15,CUST-045,Shipped,USD,9102.85
SO-00015,2025-01-29,CUST-029,Shipped,USD,998.64
SO-00016,2025-01-08,CUST-005,Shipped,USD,13518.48
SO-00017,2025-01-20,CUST-026,Shipped,USD,3700.64
SO-00018,2025-01-16,CUST-012,Shipped,USD,11358.18
SO-00019,2025-01-07,CUST-022,Open,USD,8354.33
SO-00020,2025-01-13,CUST-035,Shipped,USD,6265.64
SO-00021,2025-01-07,CUST-039,Closed,USD,9580.26
SO-00022,2025-01-28,CUST-020,Shipped,USD,1698.08
SO-00023,2025-01-02,CUST-003,Shipped,USD,1633.8
SO-00024,2025-01-20,CUST-003,Open,USD,8567.15
SO-00025,2025-01-03,CUST-048,Shipped,USD,6234.2
SO-00026,2025-01-21,CUST-004,Closed,USD,3227.72
SO-00027,2025-01-08,CUST-033,Shipped,USD,6402.25
SO-00028,2025-01-29,CUST-015,Closed,USD,239.3
SO-00029,2025-01-30,CUST-046,Shipped,USD,1439.94
SO-00030,2025-01-08,CUST-044,Open,USD,9727.75
SO-00031,2025-01-15,CUST-032,Shipped,USD,1109.52
SO-00032,2025-01-29,CUST-042,Shipped,USD,6141.52
SO-00033,2025-01-21,CUST-029,Closed,USD,2891.3
SO-00034,2025-01-03,CUST-046,Shipped,USD,7062.93
SO-00035,2025-01-13,CUST-045,Closed,USD,6495.56
SO-00036,2025-01-31,CUST-009,Shipped,USD,5192.72
SO-00037,2025-01-15,CUST-024,Shipped,USD,3936.14
SO-00038,2025-01-02,CUST-041,Shipped,USD,1121.6
SO-00039,2025-01-14,CUST-040,Closed,USD,2016.49
SO-00040,2025-01-08,CUST-045,Closed,USD,1949.47
SO-00041,2025-01-10,CUST-012,Shipped,USD,5369.2
SO-00042,2025-01-10,CUST-031,Closed,USD,3451.8
SO-00043,2025-01-06,CUST-020,Shipped,USD,3648.54
SO-00044,2025-01-06,CUST-009,Shipped,USD,1423.49
SO-00045,2025-01-29,CUST-007,Closed,USD,1441.26
SO-00046,2025-01-01,CUST-033,Closed,USD,2996.58
SO-00047,2025-01-15,CUST-014,Shipped,USD,6352.38
SO-00048,2025-01-17,CUST-008,Shipped,USD,2224.0
SO-00049,2025-01-30,CUST-030,Shipped,USD,7347.75
SO-00050,2025-01-22,CUST-031,Closed,USD,9634.4
SO-00051,2025-01-08,CUST-030,Closed,USD,5416.52
SO-00052,2025-01-29,CUST-001,Shipped,USD,16540.33
SO-00053,2025-01-27,CUST-047,Closed,USD,10017.12
SO-00054,2025-01-28,CUST-043,Closed,USD,9634.4
SO-00055,2025-01-08,CUST-003,Closed,USD,6203.64
SO-00056,2025-01-28,CUST-046,Closed,USD,5398.82
SO-00057,2025-01-01,CUST-014,Shipped,USD,664.05
SO-00058,2025-01-06,CUST-011,Shipped,USD,1679.46
SO-00059,2025-01-02,CUST-026,Shipped,USD,423.6
SO-00060,2025-01-15,CUST-033,Shipped,USD,1215.4
SO-00061,2025-01-15,CUST-039,Shipped,USD,5743.64
SO-00062,2025-01-29,CUST-041,Closed,USD,3173.6
SO-00063,2025-01-22,CUST-027,Shipped,USD,7928.51
SO-00064,2025-01-09,CUST-037,Closed,USD,7199.35
SO-00065,2025-01-30,CUST-018,Closed,USD,15858.56
SO-00066,2025-01-09,CUST-014,Shipped,USD,5212.45
SO-00067,2025-01-27,CUST-019,Closed,USD,8585.9
SO-00068,2025-01-20,CUST-050,Open,USD,1044.61
SO-00069,2025-01-24,CUST-036,Closed,USD,4935.88
SO-00070,2025-01-21,CUST-040,Shipped,USD,3126.96
SO-00071,2025-01-14,CUST-004,Closed,USD,6563.16
SO-00072,2025-01-10,CUST-021,Shipped,USD,1971.78
SO-00073,2025-01-21,CUST-038,Shipped,USD,1197.16
SO-00074,2025-01-24,CUST-035,Shipped,USD,1518.39
SO-00075,2025-01-06,CUST-049,Shipped,USD,1884.89
SO-00076,2025-01-13,CUST-014,Closed,USD,13403.84
SO-00077,2025-01-08,CUST-035,Closed,USD,564.23
SO-00078,2025-01-21,CUST-049,Shipped,USD,11379.95
SO-00079,2025-01-24,CUST-014,Shipped,USD,3896.54
SO-00080,2025-01-20,CUST-010,Shipped,USD,3583.86
SO-00081,2025-01-08,CUST-035,Shipped,USD,1185.22
SO-00082,2025-01-30,CUST-028,Open,USD,4765.15
SO-00083,2025-01-31,CUST-005,Shipped,USD,729.54
SO-00084,2025-01-31,CUST-026,Shipped,USD,875.52
SO-00085,2025-01-13,CUST-039,Shipped,USD,15707.98
SO-00086,2025-01-07,CUST-010,Open,USD,10387.22
SO-00087,2025-01-29,CUST-031,Closed,USD,2476.2
SO-00088,2025-01-02,CUST-031,Shipped,USD,2969.27
SO-00089,2025-01-01,CUST-038,Closed,USD,882.36
SO-00090,2025-01-28,CUST-044,Open,USD,8219.22
SO-00091,2025-01-15,CUST-001,Shipped,USD,243.08
SO-00092,2025-01-20,CUST-011,Shipped,USD,10722.52
SO-00093,2025-01-22,CUST-027,Shipped,USD,6382.1
SO-00094,2025-01-14,CUST-042,Shipped,USD,1468.74
SO-00095,2025-01-09,CUST-031,Closed,USD,1797.76
SO-00096,2025-01-16,CUST-014,Open,USD,1148.55
SO-00097,2025-01-30,CUST-001,Open,USD,764.6
SO-00098,2025-01-06,CUST-047,Shipped,USD,2088.89
SO-00099,2025-01-28,CUST-045,Shipped,USD,224.6
SO-00100,2025-01-30,CUST-014,Shipped,USD,13799.13
SO-00101,2025-01-28,CUST-028,Shipped,USD,1021.12
SO-00102,2025-01-17,CUST-005,Closed,USD,3008.8
SO-00103,2025-02-13,CUST-034,Open,USD,2953.3
SO-00104,2025-02-27,CUST-004,Shipped,USD,2375.92
SO-00105,2025-02-21,CUST-020,Closed,USD,6135.06
SO-00106,2025-02-06,CUST-004,Closed,USD,9593.73
SO-00107,2025-02-26,CUST-009,Shipped,USD,14136.01
SO-00108,2025-02-25,CUST-020,Shipped,USD,4060.78
SO-00109,2025-02-14,CUST-035,Shipped,USD,2389.78
SO-00110,2025-02-26,CUST-050,Shipped,USD,1617.04
SO-00111,2025-02-06,CUST-016,Shipped,USD,3898.54
SO-00112,2025-02-05,CUST-028,Shipped,USD,638.89
SO-00113,2025-02-14,CUST-012,Shipped,USD,10941.75
SO-00114,2025-02-24,CUST-031,Closed,USD,5540.92
SO-00115,2025-02-17,CUST-004,Shipped,USD,1476.3
SO-00116,2025-02-10,CUST-036,Closed,USD,2368.0
SO-00117,2025-02-12,CUST-014,Shipped,USD,1533.44
SO-00118,2025-02-03,CUST-049,Shipped,USD,4421.42
SO-00119,2025-02-24,CUST-046,Shipped,USD,3084.12
SO-00120,2025-02-05,CUST-022,Closed,USD,4104.4
SO-00121,2025-02-28,CUST-034,Shipped,USD,6956.58
SO-00122,2025-02-11,CUST-050,Shipped,USD,3756.6
SO-00123,2025-02-05,CUST-038,Closed,USD,8917.34
SO-00124,2025-02-20,CUST-030,Closed,USD,6159.19
SO-00125,2025-02-07,CUST-021,Shipped,USD,6506.83
SO-00126,2025-02-13,CUST-039,Closed,USD,5351.43
SO-00127,2025-02-24,CUST-011,Shipped,USD,2930.0
SO-00128,2025-02-19,CUST-030,Open,USD,1365.44
SO-00129,2025-02-27,CUST-027,Closed,USD,1934.1
SO-00130,2025-02-11,CUST-006,Shipped,USD,3251.7
SO-00131,2025-02-07,CUST-046,Shipped,USD,6953.6
SO-00132,2025-02-10,CUST-008,Shipped,USD,1059.3
SO-00133,2025-02-06,CUST-032,Shipped,USD,2810.04
SO-00134,2025-02-05,CUST-006,Closed,USD,12064.62
SO-00135,2025-02-14,CUST-044,Shipped,USD,2503.27
SO-00136,2025-02-03,CUST-029,Shipped,USD,22414.91
SO-00137,2025-02-10,CUST-041,Shipped,USD,1369.47
SO-00138,2025-02-05,CUST-005,Closed,USD,13395.24
SO-00139,2025-02-28,CUST-041,Closed,USD,753.1
SO-00140,2025-02-07,CUST-011,Closed,USD,11642.55
SO-00141,2025-02-27,CUST-047,Shipped,USD,4127.76
SO-00142,2025-02-24,CUST-028,Shipped,USD,1660.53
SO-00143,2025-02-13,CUST-024,Closed,USD,4249.73
SO-00144,2025-02-17,CUST-016,Closed,USD,5185.36
SO-00145,2025-02-18,CUST-017,Shipped,USD,4686.72
SO-00146,2025-02-21,CUST-034,Closed,USD,6439.48
SO-00147,2025-02-10,CUST-041,Shipped,USD,6270.13
SO-00148,2025-02-13,CUST-029,Closed,USD,8384.33
SO-00149,2025-02-28,CUST-036,Closed,USD,9695.11
SO-00150,2025-02-18,CUST-050,Shipped,USD,1298.57
SO-00151,2025-02-04,CUST-042,Closed,USD,2047.71
SO-00152,2025-02-07,CUST-003,Shipped,USD,4623.02
SO-00153,2025-02-20,CUST-010,Shipped,USD,6169.9
SO-00154,2025-02-04,CUST-020,Shipped,USD,1714.44
SO-00155,2025-02-03,CUST-039,Closed,USD,1249.0
SO-00156,2025-02-21,CUST-001,Closed,USD,5040.08
SO-00157,2025-02-04,CUST-028,Shipped,USD,2999.81
SO-00158,2025-02-28,CUST-044,Closed,USD,1497.84
SO-00159,2025-02-25,CUST-038,Closed,USD,3140.24
SO-00160,2025-02-26,CUST-017,Closed,USD,4665.75
SO-00161,2025-02-12,CUST-050,Shipped,USD,467.28
SO-00162,2025-02-20,CUST-003,Closed,USD,6995.74
SO-00163,2025-02-03,CUST-040,Closed,USD,1009.4
SO-00164,2025-02-17,CUST-037,Closed,USD,5620.66
SO-00165,2025-02-24,CUST-006,Closed,USD,13216.0
SO-00166,2025-02-06,CUST-011,Shipped,USD,1274.59
